V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
58362 2014 1 1 10198 10217 10181 57 156 -7 49 59 20 0 32766 20 13 56 12 86 12 76 
58362 2014 1 2 10185 10204 10161 72 157 0 66 67 33 0 32766 18 17 45 4 69 5 78 
58362 2014 1 3 10163 10186 10149 116 159 82 74 58 24 0 32766 18 20 47 14 82 14 51 
58362 2014 1 4 10217 10234 10186 72 118 52 77 76 41 0 32766 12 24 50 2 80 2 0 
58362 2014 1 5 10240 10255 10224 40 98 -7 62 78 55 0 32766 13 13 33 5 53 5 64 
58362 2014 1 6 10244 10266 10227 81 133 4 75 71 47 0 32766 18 25 54 6 93 6 67 
58362 2014 1 7 10193 10237 10167 103 121 89 108 85 69 39 32766 30 19 37 6 68 7 0 
58362 2014 1 8 10226 10287 10169 74 105 50 90 86 70 89 32766 16 41 59 1 121 1 0 
58362 2014 1 9 10324 10345 10287 30 50 17 44 58 47 0 32766 25 28 59 1 105 2 57 
58362 2014 1 10 10328 10344 10293 25 79 -27 48 70 34 0 32766 16 11 48 4 83 4 76 
58362 2014 1 11 10310 10327 10294 56 65 44 69 76 61 25 32766 14 32 42 4 70 4 0 
58362 2014 1 12 10308 10326 10290 59 83 45 67 73 51 41 32766 15 23 40 3 76 16 0 
58362 2014 1 13 10320 10341 10306 47 64 34 55 65 50 0 32766 21 31 47 2 94 2 34 
58362 2014 1 14 10323 10340 10307 44 74 30 52 63 45 0 32766 16 22 47 2 81 2 56 
58362 2014 1 15 10337 10360 10318 44 73 16 49 60 41 0 32766 17 18 38 2 75 2 89 
58362 2014 1 16 10290 10327 10258 52 113 -9 62 74 42 0 32766 14 10 35 4 59 10 78 
58362 2014 1 17 10266 10280 10247 65 113 18 73 77 55 0 32766 12 13 30 4 52 4 57 
58362 2014 1 18 10331 10352 10273 55 88 42 65 72 51 0 32766 16 34 46 15 88 2 29 
58362 2014 1 19 10296 10355 10251 39 102 -20 58 74 44 0 32766 16 18 48 9 73 8 80 
58362 2014 1 20 10270 10298 10251 54 102 25 54 63 31 0 32766 20 30 56 15 95 15 62 
58362 2014 1 21 10320 10335 10298 32 54 4 36 47 25 0 32766 28 31 66 15 126 14 69 
58362 2014 1 22 10309 10336 10291 19 60 -41 38 56 25 0 32766 21 17 31 3 63 2 75 
58362 2014 1 23 10247 10296 10211 57 121 -21 54 62 28 0 32766 53 29 52 9 91 9 82 
58362 2014 1 24 10174 10217 10147 116 181 54 77 60 25 0 32766 23 35 54 9 81 9 88 
58362 2014 1 25 10187 10249 10150 109 143 72 88 68 42 0 32766 16 36 65 14 115 2 41 
58362 2014 1 26 10292 10320 10247 67 92 52 65 67 48 0 32766 25 29 55 2 107 1 65 
58362 2014 1 27 10238 10290 10203 72 142 -4 69 71 37 0 32766 23 17 45 9 71 4 87 
58362 2014 1 28 10236 10262 10204 83 130 49 87 80 56 0 32766 13 22 47 3 78 3 49 
58362 2014 1 29 10201 10265 10159 106 144 66 106 84 68 4 32766 9 21 54 9 93 9 0 
58362 2014 1 30 10185 10207 10169 106 183 76 106 85 54 0 32766 12 26 41 4 70 4 27 
58362 2014 1 31 10190 10217 10161 142 202 79 124 78 57 0 32766 17 32 49 9 73 9 75 
58362 2014 2 1 10127 10165 10099 180 245 145 139 70 41 0 32766 21 27 58 11 93 11 61 
58362 2014 2 2 10120 10143 10089 103 167 89 117 94 68 0 32766 14 27 41 4 59 5 0 
58362 2014 2 3 10172 10236 10104 75 95 50 85 80 62 0 32766 18 37 57 3 122 1 0 
58362 2014 2 4 10266 10284 10236 35 53 21 43 55 43 0 32766 35 30 49 2 89 1 56 
58362 2014 2 5 10231 10269 10195 52 66 27 70 78 54 24 32766 21 37 56 4 102 5 0 
58362 2014 2 6 10176 10203 10163 78 86 66 101 95 90 222 32766 28 36 65 4 107 4 0 
58362 2014 2 7 10173 10195 10153 53 77 37 82 92 88 235 32766 19 37 67 4 117 4 0 
58362 2014 2 8 10216 10235 10185 31 46 15 54 71 57 4 32766 24 43 56 15 104 15 30 
58362 2014 2 9 10252 10272 10229 21 33 9 51 72 63 32700 32766 22 40 71 1 131 2 0 
58362 2014 2 10 10288 10307 10268 -2 18 -12 43 71 60 32700 32766 23 54 67 15 129 1 0 
58362 2014 2 11 10269 10291 10246 5 28 -24 44 71 60 0 32766 51 35 56 15 104 15 13 
58362 2014 2 12 10268 10283 10259 35 57 12 61 78 65 1 32766 10 34 46 4 85 16 0 
58362 2014 2 13 10284 10296 10266 53 74 41 60 68 58 32700 32766 16 31 56 1 105 2 8 
58362 2014 2 14 10281 10296 10265 46 75 28 55 66 41 0 32766 22 26 55 1 105 1 42 
58362 2014 2 15 10273 10288 10258 42 86 -2 56 68 42 0 32766 20 18 43 4 71 4 88 
58362 2014 2 16 10235 10273 10215 68 82 43 81 82 61 130 32766 16 29 38 6 68 5 0 
58362 2014 2 17 10205 10233 10182 79 90 66 104 98 95 111 32766 19 36 48 13 86 2 0 
58362 2014 2 18 10243 10257 10225 46 66 37 78 91 90 295 32766 31 34 52 2 107 2 0 
58362 2014 2 19 10266 10282 10248 33 45 20 68 87 70 69 32766 30 33 52 15 91 16 0 
58362 2014 2 20 10306 10320 10282 38 85 2 58 74 45 0 32766 18 24 46 14 80 14 71 
58362 2014 2 21 10308 10326 10290 38 84 -8 59 76 44 0 32766 20 17 48 4 74 4 78 
58362 2014 2 22 10293 10309 10276 68 105 41 70 71 55 0 32766 21 31 52 4 82 3 75 
58362 2014 2 23 10290 10305 10279 76 110 55 78 76 58 0 32766 18 24 48 4 77 5 78 
58362 2014 2 24 10263 10287 10243 86 117 62 102 91 79 9 32766 8 25 35 4 60 4 0 
58362 2014 2 25 10222 10257 10200 97 112 85 116 96 91 282 32766 27 39 66 5 119 6 0 
58362 2014 2 26 10209 10232 10186 94 104 89 113 96 93 22 32766 16 21 49 4 84 4 0 
58362 2014 2 27 10234 10248 10213 104 139 77 107 86 68 0 32766 11 8 28 4 43 2 0 
