ID,division,name,engName,pinyinName,bottom,superior
1,110000,北京,,beijing,FALSE,0
2,110101,东城区,,dongchengqu,1,110000
3,110102,西城区,,xichengqu,1,110000
4,110103,崇文区,,chongwenqu,1,110000
5,110104,宣武区,,xuanwuqu,1,110000
6,110105,朝阳区,,chaoyangqu,1,110000
7,110106,丰台区,,fengtaiqu,1,110000
8,110107,石景山区,,shijingshanqu,1,110000
9,110108,海淀区,,haidianqu,1,110000
10,110109,门头沟区,,mentougouqu,1,110000
11,110111,房山区,,fangshanqu,1,110000
12,110112,通州区,,tongzhouqu,1,110000
13,110113,顺义区,,shunyiqu,1,110000
14,110114,昌平区,,changpingqu,1,110000
15,110115,大兴区,,daxingqu,1,110000
16,110116,怀柔区,,huairouqu,1,110000
17,110117,平谷区,,pingguqu,1,110000
18,110228,密云县,,miyunxian,1,110000
19,110229,延庆县,,yanqingxian,1,110000
20,120000,天津,,tianjin,FALSE,0
21,120101,和平区,,hepingqu,1,120000
22,120102,河东区,,hedongqu,1,120000
23,120103,河西区,,hexiqu,1,120000
24,120104,南开区,,nankaiqu,1,120000
25,120105,河北区,,hebeiqu,1,120000
26,120106,红桥区,,hongqiaoqu,1,120000
27,120110,东丽区,,dongliqu,1,120000
28,120111,西青区,,xiqingqu,1,120000
29,120112,津南区,,jinnanqu,1,120000
30,120113,北辰区,,beichenqu,1,120000
31,120114,武清区,,wuqingqu,1,120000
32,120115,宝坻区,,baoqu,1,120000
33,120116,滨海新区,,binhaixinqu,1,120000
34,120221,宁河县,,ninghexian,1,120000
35,120223,静海县,,jinghaixian,1,120000
36,120225,蓟县,,jixian,1,120000
37,130000,河北,,hebei,FALSE,0
38,130100,石家庄市,,shijiazhuangshi,FALSE,130000
39,130102,长安区,,changanqu,1,130100
40,130129,赞皇县,,zanhuangxian,1,130100
41,130130,无极县,,wujixian,1,130100
42,130131,平山县,,pingshanxian,1,130100
43,130132,元氏县,,yuanshixian,1,130100
44,130133,赵县,,zhaoxian,1,130100
45,130181,辛集市,,xinjishi,1,130100
46,130182,藁城市,,chengshi,1,130100
47,130183,晋州市,,jinzhoushi,1,130100
48,130184,新乐市,,xinleshi,1,130100
49,130128,深泽县,,shenzexian,1,130100
50,130127,高邑县,,gaoyixian,1,130100
51,130126,灵寿县,,lingshouxian,1,130100
52,130103,桥东区,,qiaodongqu,1,130100
53,130104,桥西区,,qiaoxiqu,1,130100
54,130105,新华区,,xinhuaqu,1,130100
55,130107,井陉矿区,,jingkuangqu,1,130100
56,130108,裕华区,,yuhuaqu,1,130100
57,130121,井陉县,,jingxian,1,130100
58,130123,正定县,,zhengdingxian,1,130100
59,130124,栾城县,,chengxian,1,130100
60,130125,行唐县,,xingtangxian,1,130100
61,130185,鹿泉市,,luquanshi,1,130100
62,130200,唐山市,,tangshanshi,FALSE,130000
63,130202,路南区,,lunanqu,1,130200
64,130281,遵化市,,zunhuashi,1,130200
65,130230,唐海县,,tanghaixian,1,130200
66,130229,玉田县,,yutianxian,1,130200
67,130227,迁西县,,qianxixian,1,130200
68,130225,乐亭县,,letingxian,1,130200
69,130224,滦南县,,luannanxian,1,130200
70,130223,滦县,,luanxian,1,130200
71,130208,丰润区,,fengrunqu,1,130200
72,130207,丰南区,,fengnanqu,1,130200
73,130205,开平区,,kaipingqu,1,130200
74,130204,古冶区,,guyequ,1,130200
75,130203,路北区,,lubeiqu,1,130200
76,130283,迁安市,,qiananshi,1,130200
77,130300,秦皇岛市,,qinhuangdaoshi,FALSE,130000
78,130302,海港区,,haigangqu,1,130300
79,130303,山海关区,,shanhaiguanqu,1,130300
80,130304,北戴河区,,beidaihequ,1,130300
81,130321,青龙满族自治县,,qinglongmanzuzizhixian,1,130300
82,130322,昌黎县,,changlixian,1,130300
83,130323,抚宁县,,funingxian,1,130300
84,130324,卢龙县,,lulongxian,1,130300
85,130400,邯郸市,,handanshi,FALSE,130000
86,130402,邯山区,,hanshanqu,1,130400
87,130435,曲周县,,quzhouxian,1,130400
88,130434,魏县,,weixian,1,130400
89,130433,馆陶县,,guantaoxian,1,130400
90,130432,广平县,,guangpingxian,1,130400
91,130431,鸡泽县,,jizexian,1,130400
92,130430,邱县,,qiuxian,1,130400
93,130429,永年县,,yongnianxian,1,130400
94,130428,肥乡县,,feixiangxian,1,130400
95,130427,磁县,,cixian,1,130400
96,130426,涉县,,shexian,1,130400
97,130425,大名县,,damingxian,1,130400
98,130424,成安县,,chenganxian,1,130400
99,130423,临漳县,,linzhangxian,1,130400
100,130421,邯郸县,,handanxian,1,130400
101,130406,峰峰矿区,,fengfengkuangqu,1,130400
102,130404,复兴区,,fuxingqu,1,130400
103,130403,丛台区,,congtaiqu,1,130400
104,130481,武安市,,wuanshi,1,130400
105,130500,邢台市,,xingtaishi,FALSE,130000
106,130502,桥东区,,qiaodongqu,1,130500
107,130581,南宫市,,nangongshi,1,130500
108,130535,临西县,,linxixian,1,130500
109,130534,清河县,,qinghexian,1,130500
110,130533,威县,,weixian,1,130500
111,130532,平乡县,,pingxiangxian,1,130500
112,130531,广宗县,,guangzongxian,1,130500
113,130530,新河县,,xinhexian,1,130500
114,130529,巨鹿县,,juluxian,1,130500
115,130528,宁晋县,,ningjinxian,1,130500
116,130527,南和县,,nanhexian,1,130500
117,130526,任县,,renxian,1,130500
118,130525,隆尧县,,longyaoxian,1,130500
119,130524,柏乡县,,baixiangxian,1,130500
120,130523,内丘县,,neiqiuxian,1,130500
121,130522,临城县,,linchengxian,1,130500
122,130521,邢台县,,xingtaixian,1,130500
123,130503,桥西区,,qiaoxiqu,1,130500
124,130582,沙河市,,shaheshi,1,130500
125,130600,保定市,,baodingshi,FALSE,130000
126,130602,新市区,,xinshiqu,1,130600
127,130632,安新县,,anxinxian,1,130600
128,130633,易县,,yixian,1,130600
129,130634,曲阳县,,quyangxian,1,130600
130,130635,蠡县,,xian,1,130600
131,130636,顺平县,,shunpingxian,1,130600
132,130637,博野县,,boyexian,1,130600
133,130638,雄县,,xiongxian,1,130600
134,130681,涿州市,,zhoushi,1,130600
135,130682,定州市,,dingzhoushi,1,130600
136,130683,安国市,,anguoshi,1,130600
137,130631,望都县,,wangduxian,1,130600
138,130630,涞源县,,yuanxian,1,130600
139,130629,容城县,,rongchengxian,1,130600
140,130603,北市区,,beishiqu,1,130600
141,130604,南市区,,nanshiqu,1,130600
142,130621,满城县,,manchengxian,1,130600
143,130622,清苑县,,qingyuanxian,1,130600
144,130623,涞水县,,shuixian,1,130600
145,130624,阜平县,,fupingxian,1,130600
146,130625,徐水县,,xushuixian,1,130600
147,130626,定兴县,,dingxingxian,1,130600
148,130627,唐县,,tangxian,1,130600
149,130628,高阳县,,gaoyangxian,1,130600
150,130684,高碑店市,,gaobeidianshi,1,130600
151,130700,张家口市,,zhangjiakoushi,FALSE,130000
152,130702,桥东区,,qiaodongqu,1,130700
153,130732,赤城县,,chichengxian,1,130700
154,130731,涿鹿县,,luxian,1,130700
155,130730,怀来县,,huailaixian,1,130700
156,130729,万全县,,wanquanxian,1,130700
157,130728,怀安县,,huaianxian,1,130700
158,130727,阳原县,,yangyuanxian,1,130700
159,130726,蔚县,,weixian,1,130700
160,130725,尚义县,,shangyixian,1,130700
161,130724,沽源县,,guyuanxian,1,130700
162,130723,康保县,,kangbaoxian,1,130700
163,130722,张北县,,zhangbeixian,1,130700
164,130721,宣化县,,xuanhuaxian,1,130700
165,130706,下花园区,,xiahuayuanqu,1,130700
166,130705,宣化区,,xuanhuaqu,1,130700
167,130703,桥西区,,qiaoxiqu,1,130700
168,130733,崇礼县,,chonglixian,1,130700
169,130800,承德市,,chengdeshi,FALSE,130000
170,130802,双桥区,,shuangqiaoqu,1,130800
171,130827,宽城满族自治县,,kuanchengmanzuzizhixian,1,130800
172,130826,丰宁满族自治县,,fengningmanzuzizhixian,1,130800
173,130825,隆化县,,longhuaxian,1,130800
174,130824,滦平县,,luanpingxian,1,130800
175,130823,平泉县,,pingquanxian,1,130800
176,130822,兴隆县,,xinglongxian,1,130800
177,130821,承德县,,chengdexian,1,130800
178,130804,鹰手营子矿区,,yingshouyingzikuangqu,1,130800
179,130803,双滦区,,shuangluanqu,1,130800
180,130828,围场满族蒙古族自治县,,weichangmanzumengguzuzizhixian,1,130800
181,130900,沧州市,,cangzhoushi,FALSE,130000
182,130902,新华区,,xinhuaqu,1,130900
183,130983,黄骅市,,huangshi,1,130900
184,130982,任丘市,,renqiushi,1,130900
185,130981,泊头市,,botoushi,1,130900
186,130930,孟村回族自治县,,mengcunhuizuzizhixian,1,130900
187,130929,献县,,xianxian,1,130900
